# sid, x, y, z, r
172, 9.2052280201265813, -0.4579798942131025, 6.0011209584991718, 0.4375051741290644
173, -6.3051139399757146, -9.9736097765762306, 9.9995335402808987, 0.4443361717970781
174, -6.9561280442164781, 8.1433557622377730, 9.9995231083895941, 0.4605530431467690
175, -8.1995566779588014, 7.6418619691773211, -4.2571367649758169, 0.4563439394876099
176, 3.0207059900986715, -5.0344247704353187, -18.9999674149921596, 0.4196622875757549
177, 5.6067034224919672, 5.8729353033338656, 13.0034633711709606, 0.4604487598180600
178, -8.1994938536358717, 6.6686098865181780, 9.9773189262859887, 0.4373160528508258
179, 0.8196314825704748, -9.9995955310651681, 8.1455770257371984, 0.4417722208505459
180, 10.4809915788027936, -1.8302193639342761, 5.7429844480785093, 0.4296435943649546
181, -6.4087121603507384, -9.9994052539048006, -7.6984726986770733, 0.4296842051353978
182, -1.6732508184909751, 9.9995299370624355, -8.5778095283231863, 0.4447723629084791
183, 5.5360361789955261, 5.9244295724331995, -15.4720982783374676, 0.4218697189820493
184, -3.3957345335035782, -4.6891919516431821, -17.6643163675104446, 0.4436392384719651
185, -7.6104637300606877, -7.2459983483330950, 9.9993669050286691, 0.4595075989282359
186, 1.5985029145571250, 0.2110607413044552, 5.9952132532485933, 0.4510109229230986
187, 0.3309634644232382, -4.7976530076505792, -18.9999763712752809, 0.4603638937107719
188, 0.5311893225608968, 6.8859903965866103, -10.0241175635430970, 0.4317314505934341
189, 11.7995167053450878, -1.2669135759916632, 5.8921976681298549, 0.4521327745563900
190, 8.8006785343860887, 0.4121692433802175, 15.1248790912980962, 0.4294792389174626
191, 4.0707914180839015, -2.3230288478206611, 5.5581395452877622, 0.4400277396255792
192, -1.2054336069005718, 2.9885568590500045, -5.2086975511636160, 0.4439410206671041
193, 8.4956195459848853, -9.9995573918017424, -0.2586846543661268, 0.4326624503749554
194, -8.1995027543970789, -6.5167509961285148, 1.4200328750358515, 0.4460202133696097
195, 7.4184981354054145, -8.7770298265319386, 2.1209167158115663, 0.4570484742261434
196, -6.8851504221999491, -0.7580095018427681, 5.9795445458352514, 0.4375288577846670
197, -2.8067756528553534, 4.6397407994771669, -3.8491766956687528, 0.4382854223874298
198, -5.4913810857191514, -4.6284939424704792, -3.8426791117889203, 0.4733090313720378
199, -0.2065928759826863, 9.9754929362860967, -9.9993532314464169, 0.4315804199875584
200, 1.2892571579645085, -3.2957362109816239, 19.0000413953137013, 0.4292853087031601
201, 6.1248144032232057, 5.5232770737613404, 12.6839469676654435, 0.4471319421335932
202, -0.9231098036762913, -6.4420709382033481, 10.0250014958072100, 0.4535551399929211
203, -4.1546476496109657, -5.9281272452357214, -0.9252141137159027, 0.4541657803855003
204, 6.0993903976649442, 5.5413173737654322, 14.1524220608769298, 0.4450951490523907
205, 10.5776583381223048, -5.7768203210862517, -1.6646933171360381, 0.4283161325711913
206, -2.9353445316688469, -4.7307383545678867, 3.7248226958675583, 0.4452116662387218
207, -5.6064132804522071, 2.6012085136568746, 5.4056599532590370, 0.4363488449724900
208, 2.7741186836531941, -8.7572891413239482, 9.9995810221759385, 0.4603208760661830
209, 11.7991247973434348, -5.1756811779608221, 3.1251088580774535, 0.4319620459618041
210, -8.1992181921397442, -4.5424909022884643, -3.9888335861504047, 0.4527957818715564
211, 10.3401693664913417, -9.9994929110516413, -0.5402464535922030, 0.4500912394269839
212, 2.2121881689751848, 9.3712329199672784, -6.0013048680748247, 0.5042457681907764
213, 11.7795796886809896, 1.6910301545194562, 9.9994705313537349, 0.4485468742689976
214, 8.6813373219818555, -1.2835230059184928, -13.1330032839608908, 0.4371081920208187
215, 4.2656409996495626, -9.9994349009606935, -9.9741581869167319, 0.4582451608383901
216, 2.6254479385661589, 6.9709609137657287, 9.9998838625935313, 0.4359683424326982
217, 8.6261719051076220, 4.0604159812365035, -4.4322827131184832, 0.4365541786904076
218, 8.8025119372403360, -0.4787639698546282, 11.2874962606832163, 0.4592168880657889
219, 5.1410934182715877, 6.1524632165609097, 17.1467459006722329, 0.4253677223770988
220, 11.7994000000000003, 8.6400470726133207, -7.0013830580591963, 0.4408853604094675
221, 11.0637308685724687, -9.9992277339831830, -7.2229456382271717, 0.4346855013454913
222, 0.9132014929468456, 6.9607509810255070, 16.7809450656311512, 0.4558635351181869
223, 7.7037135260528080, 9.3078058653490565, -1.0528586123152708, 0.4613407440386442
224, -4.7524286353384779, -2.4830673784838386, -14.4363068363647873, 0.4483839401616546
225, -5.1735064372225050, 0.6911247709417397, 17.7990640515550957, 0.4356946218177818
226, 3.2327350564698167, 9.9990017796979167, -5.8750699283969130, 0.4401855988311849
227, 3.4115771976595068, 6.8250913400786306, -18.3203253453216099, 0.4817452453469502
228, -3.8853876344541303, -4.7530010474826110, -3.6741563470793346, 0.4660705970938405
229, 4.9564582942582094, -6.9945735980126820, 9.9996726715424860, 0.4332215855205550
230, -8.1995313765013016, -9.3329142663773244, 7.5402223238715571, 0.4496911088638618
